 	BX	BY	Width	Height
1	107	67	39	25
2	207	7	39	49
3	294	61	29	26
4	266	151	36	27
5	349	126	29	26
6	483	24	22	20
7	530	70	28	23
8	579	111	21	24
9	430	128	59	69
10	579	225	22	30
11	496	275	29	26
12	365	245	47	48
13	414	311	45	39
14	316	312	68	44
15	203	262	56	51
16	173	199	37	29
17	0	207	22	55
18	4	304	27	19
19	121	356	23	21
20	188	410	25	22
21	519	379	82	56
22	571	314	27	13
23	63	237	23	26
24	19	104	13	11
25	1	132	11	10
26	23	13	8	6
27	74	21	18	11
28	99	201	19	13
29	268	105	23	19
30	68	298	25	12
31	535	199	10	8
32	37	427	22	8
